30 30
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 17 ../assets/walls/brick_wall.png
3 18 ../assets/walls/brick_wall.png
0 -1 -
3 21 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 16 ../assets/walls/brick_wall.png
3 19 ../assets/walls/brick_wall.png
3 20 ../assets/walls/brick_wall.png
3 22 ../assets/walls/brick_wall.png
3 23 ../assets/walls/brick_wall.png
3 24 ../assets/walls/brick_wall.png
3 25 ../assets/walls/brick_wall.png
3 26 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 15 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
3 55 ../assets/buildings/tower1.png
0 -1 -
0 -1 -
0 -1 -
3 27 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 14 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 28 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 13 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 29 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 11 ../assets/walls/brick_wall.png
0 -1 -
3 51 ../assets/buildings/tower1.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 50 ../assets/buildings/tower1.png
0 -1 -
0 -1 -
3 30 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 12 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
3 56 ../assets/buildings/tower1.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 31 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 9 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 32 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 10 ../assets/walls/brick_wall.png
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
0 -1 -
3 54 ../assets/buildings/tower1.png
0 -1 -
